id	name	population	location_type	admin_area_id	sub_admin_area_id	admin_area	sub_admin_area
12130	Grant	1120.0	Locality	11706.0	12130	Nebraska	Grant
2230	Pittsville	838.0	Locality	1860.0	2230	Wisconsin	Pittsville
44733	Thompson		Locality	28468.0	44733	Connecticut	Thompson
31593	Hatch	143.0	Locality	31331.0	31593	Utah	Hatch
8260	Pecos	15673.0	SubAdminArea	6614.0	8260	Texas	Pecos
18520	Ely	4364.0	Locality	18350.0	18520	Nevada	Ely
48513	Rosston		Locality	24391.0	48513	Indiana	Rosston
58436	Parksville		Locality	13115.0	58436	New York	Parksville
69596	Hillsdale		Locality	2876.0	3163	West Virginia	Kanawha County
18273	Imperial	17550.0	Locality	16606.0	18252	California	Imperial County
58863	Alice		Locality	13115.0	13610	New York	Steuben County
27790	Florence	16935.0	Locality	27523.0	27748	Arizona	Pinal County
68223	Lyndhurst		Locality	1860.0	2001	Wisconsin	Shawano County
64376	Goshen		Locality	6614.0	6765	Texas	Parker County
17299	Woodbridge	3993.0	Locality	16606.0	17299	California	Woodbridge
33859	Isabella		Locality	33129.0	33859	Minnesota	Isabella
11089	Madison	21763.0	SubAdminArea	10187.0	11089	North Carolina	Madison
71502	Oketo		Locality		71502		Oketo
40182	Artesian	143.0	Locality	39893.0	40182	South Dakota	Artesian
40429	Lily	4.0	Locality	39893.0	40429	South Dakota	Lily
57102	Newington		Locality	5125.0	57102	New Hampshire	Newington
65292	Yuma		Locality	915.0	1197	Virginia	Scott County
11359	Riverdale	226.0	Locality	11160.0	11343	North Dakota	McLean County
54289	Auburn		Locality	37030.0	37171	Mississippi	Lee County
43129	Webster		Locality	16606.0	17103	California	Yolo County
6386	La Joya	9.0	Locality	5995.0	6386	New Mexico	La Joya
66462	Morrisonville		Locality	915.0	66462	Virginia	Morrisonville
19189	Clear Creek	9605.0	SubAdminArea	18563.0	19189	Colorado	Clear Creek
28909	Silver Spring	79483.0	Locality	28810.0	28909	Maryland	Silver Spring
52759	Beckville		Locality	33129.0	52759	Minnesota	Beckville
39619	Parkdale	643.0	Locality	39344.0	39619	Oregon	Parkdale
4676	DeSoto	37489.0	SubAdminArea	3590.0	4676	Florida	DeSoto
43602	Meadow Lakes		Locality	16606.0	43602	California	Meadow Lakes
